Instância,Algoritmo,Nós,Limiar,Resultado,Qualidade,Tempo de execução(s),Memória(bytes)
fl417,Twice Around the Tree,417,11861,16297.174640391935,1.3740135435791194,0.4656519889831543,387160
fl417,Christofides,417,11861,13429.636363955686,1.1322516114961374,2.9778120517730713,29515824
pr439,Twice Around the Tree,439,107217,144624.15787804432,1.34889204023657,0.507936954498291,404128
pr439,Christofides,439,107217,119532.0359030051,1.1148608513855556,3.16680908203125,31912104
pcb442,Twice Around the Tree,442,50778,69364.90250618651,1.3660424299142642,0.521388053894043,398120
pcb442,Christofides,442,50778,54876.77363889552,1.0807194777048235,5.928478956222534,35159710
d493,Twice Around the Tree,493,35002,45427.08884703529,1.297842661763193,0.6915459632873535,426616
d493,Christofides,493,35002,38393.63634401193,1.0968983584941412,9.747529983520508,41568646
u574,Twice Around the Tree,574,36905,49083.15193822763,1.3299865042196892,0.9254579544067383,466512
u574,Christofides,574,36905,41337.60957541716,1.12010864585875,15.62842082977295,54511758
rat575,Twice Around the Tree,575,6773,9438.933433360664,1.3936119051174758,0.9422669410705566,451600
rat575,Christofides,575,6773,7802.7491950184985,1.1520373829940203,17.843427896499634,55750806
p654,Twice Around the Tree,654,34643,49731.89542216019,1.4355539480460753,1.2332148551940918,499608
p654,Christofides,654,34643,39244.70795213078,1.1328322591037376,2.840322971343994,60313912
d657,Twice Around the Tree,657,48912,65730.19370040316,1.3438459621443237,1.2928590774536133,503504
d657,Christofides,657,48912,54738.296289833816,1.1191179319969295,23.54048728942871,68573942
u724,Twice Around the Tree,724,41910,57779.66789292217,1.3786606512269666,1.5437359809875488,557256
u724,Christofides,724,41910,47954.682397622775,1.1442300739113045,29.520221948623657,95666006
rat783,Twice Around the Tree,783,8806,12054.453156740949,1.3688908876607937,1.8057329654693604,596128
rat783,Christofides,783,8806,10102.874531719244,1.1472716933589875,46.68690514564514,114428022
pr1002,Twice Around the Tree,1002,259045,342244.46239584225,1.321177642478497,2.9148099422454834,688728
pr1002,Christofides,1002,259045,286233.0980252908,1.1049551160041338,68.69871020317078,173886110
u1060,Twice Around the Tree,1060,224094,302914.8663669418,1.3517312661960685,3.2891950607299805,738984
u1060,Christofides,1060,224094,249108.58459439888,1.1116254098476481,94.12460017204285,188041750
vm1084,Twice Around the Tree,1084,239297,315268.3487491507,1.3174772301748483,3.681744337081909,750416
vm1084,Christofides,1084,239297,260833.0616257126,1.089997206925756,47.0273232460022,184252278
pcb1173,Twice Around the Tree,1173,56892,80694.8928627429,1.418387345544943,4.018967866897583,798752
pcb1173,Christofides,1173,56892,63392.440765721745,1.1142593117788397,87.06764316558838,215393102
d1291,Twice Around the Tree,1291,50801,74658.29731002661,1.4696225922723294,5.049964189529419,849080
d1291,Christofides,1291,50801,57930.365110023486,1.140339070294354,23.087490797042847,223378200
rl1304,Twice Around the Tree,1304,252948,347782.57034149766,1.3749172570706139,5.268847942352295,860912
rl1304,Christofides,1304,252948,278319.19310530246,1.100302011106245,22.954992294311523,236985054
rl1323,Twice Around the Tree,1323,270199,380421.587604229,1.4079311455787364,5.507474899291992,873664
rl1323,Christofides,1323,270199,298261.7196963095,1.1038594506134718,23.64739203453064,243283998
nrw1379,Twice Around the Tree,1379,56638,79156.2650653691,1.397582278070714,5.920123815536499,966592
nrw1379,Christofides,1379,56638,63845.070784206226,1.1272479745790145,307.02837109565735,357901814
fl1400,Twice Around the Tree,1400,20127,27915.52347719665,1.3869689212101481,5.8737218379974365,956144
fl1400,Christofides,1400,20127,22834.353425479138,1.1345135104823936,284.79019498825073,390370478
u1432,Twice Around the Tree,1432,152970,214430.78054791197,1.4017832290508725,6.33171010017395,990592
u1432,Christofides,1432,152970,171495.2292849713,1.1211036757859143,91.681813955307,365354934
fl1577,Twice Around the Tree,1577,22226.5,31223.096666973648,1.4047689319944052,7.650032997131348,1074328
fl1577,Christofides,1577,22226.5,24505.548646379197,1.102537450627818,58.76524806022644,404255470
d1655,Twice Around the Tree,1655,62128,85681.0784168341,1.3791056917466216,8.620444059371948,1034424
d1655,Christofides,1655,62128,70542.33671413544,1.135435499519306,117.26455879211426,449945958
vm1748,Twice Around the Tree,1748,336556,444658.6319423448,1.3212025099607339,10.111475944519043,1176960
vm1748,Christofides,1748,336556,376240.89998764714,1.1179147006371812,174.21970987319946,493294598
u1817,Twice Around the Tree,1817,57201,83501.55577440909,1.459791887806316,10.351057291030884,1177320
u1817,Christofides,1817,57201,66796.25683960102,1.1677463128197236,133.20003080368042,525434526
rl1889,Twice Around the Tree,1889,316536,449811.48817322083,1.4210436985784265,11.408874988555908,1222672
rl1889,Christofides,1889,316536,344691.95294951776,1.0889502393077495,71.65259003639221,538068390
d2103,Twice Around the Tree,2103,80201.0,124533.87160392563,1.5527720552602289,14.311302900314331,1317392
d2103,Christofides,2103,80201.0,84509.81497317906,1.0537252025932229,18.37349510192871,622765318
u2152,Twice Around the Tree,2152,64253,95076.21583494876,1.4797163686512498,14.09352970123291,1338936
u2152,Christofides,2152,64253,73917.82910222613,1.1504183322525972,193.12757015228271,702070990
u2319,Twice Around the Tree,2319,234256,320532.84102777723,1.3683015206772815,17.280607223510742,1417176
u2319,Christofides,2319,234256,272035.61031305155,1.161274888639145,731.0739450454712,972415262
pr2392,Twice Around the Tree,2392,378032,523132.9069393881,1.3838323394299639,18.408539056777954,1463936
pr2392,Christofides,2392,378032,425979.59046984685,1.126834740100962,659.5382988452911,919999766
pcb3038,Twice Around the Tree,3038,137694,196573.89922196095,1.427614124231709,30.6272132396698,1925792
pcb3038,Christofides,3038,137694,154218.1858797758,1.120006578934273,1418.174607038498,1590859302
fl3795,Twice Around the Tree,3795,28747.5,39072.83254850032,1.3591732341421106,47.7856879234314,2344496
fl3795,Christofides,3795,28747.5,31498.9712356419,1.095711670080595,1375.4993767738342,2300591318
fnl4461,Twice Around the Tree,4461,182566,254671.62750690823,1.3949564952231426,70.55006098747253,2605160
rl5915,Twice Around the Tree,5915,565285.0,840348.3558001819,1.4865923486386192,137.75900530815125,3632104
rl5934,Twice Around the Tree,5934,555057.5,827482.3360284586,1.4908047112748832,158.22595405578613,541771913
